Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New,
Western Pacific Region,China,24363,3893,491,66,,
Western Pacific Region,Japan,23,3,0,0,,
Western Pacific Region,Republic of Korea,18,2,0,0,,
Western Pacific Region,Viet Nam,10,1,0,0,,
Western Pacific Region,Republic of Singapore,24,6,0,0,,
Western Pacific Region,Australia,13,1,0,0,,
Western Pacific Region,Malaysia,10,,0,0,,
Western Pacific Region,Cambodia,1,,0,0,,
Western Pacific Region,Philippines,3,1,1,1,,
South-East Asia Region,Thailand,25,6,0,0,,
South-East Asia Region,Federal Democratic Republic of Napal,1,,0,0,,
South-East Asia Region,Sri Lanka,1,,0,0,,
South-East Asia Region,India,3,,0,0,,
Region of the Americas,United States of America,11,,0,0,,
Region of the Americas,Canada,5,1,0,0,,
European,France,6,,0,0,,
European,Finland,1,,0,0,,
European,Germany,12,,0,0,,
European,Italy,2,,0,0,,
European,Russian Federation,2,,0,0,,
European,Spain,1,,0,0,,
European,Sweden,1,,0,0,,
European,United Kingdom,2,,0,0,,
European,Belgium,1,1,0,0,TRUE,
Eastern Mediterranean,United Arab Emirates,5,,0,0,,
Other,International Coveyance,10,10,0,0,TRUE,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
