Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific,China,84250,13,4642,0,
Western Pacific,Japan,11119,368,186,15,
Western Pacific,Republic of Korea,10683,9,237,1,
Western Pacific,Singapore,8014,1426,11,0,
Western Pacific,Australia,6625,13,71,1,
Western Pacific,Philippines,6459,200,428,19,
Western Pacific,Malaysia,5424,35,89,0,
Western Pacific,New Zealand,1107,2,13,1,
Western Pacific,Viet Nam,268,0,0,0,
Western Pacific,Brunei Darussalam,138,0,1,0,
Western Pacific,Cambodia,122,0,0,0,
Western Pacific,Mongolia,33,1,0,0,
Western Pacific,Lao People's Democratic Republic,19,0,0,0,
Western Pacific,Fiji,18,1,0,0,
Western Pacific,Papua New Guinea,7,0,0,0,
Western Pacific Territories,Guam,133,0,5,0,
Western Pacific Territories,French Polynesia,56,1,0,0,
Western Pacific Territories,New Caledonia,18,0,0,0,
Western Pacific Territories,Northern Mariana Islands (Commonwealth of the),14,0,2,0,
European,Spain,200210,4266,20852,399,
European,Italy,181228,2256,24114,454,
European,Germany,143457,1785,4598,194,
European,The United Kingdom,124747,4676,16509,449,
European,France,113513,2050,20233,544,
European,Turkey,90980,4674,2140,123,
European,Russian Federation,52763,9910,456,95,
European,Belgium,39983,1487,5828,145,
European,Netherlands,33405,750,3751,67,
European,Switzerland,27862,204,1141,7,
European,Portugal,20863,657,735,21,
European,Ireland,15652,401,687,77,
European,Austria,14783,73,470,18,
European,Sweden,14777,392,1580,40,
European,Israel,13883,521,181,10,
European,Poland,9593,306,380,20,
European,Romania,8936,190,451,17,
European,Denmark,7515,131,364,9,
European,Norway,7113,45,154,0,
European,Czechia,6914,127,196,8,
European,Serbia,6630,312,125,3,
European,Belarus,6264,1485,51,4,
European,Ukraine,6125,415,161,10,
European,Finland,3868,85,98,4,
European,Luxembourg,3558,8,75,2,
European,Republic of Moldova,2548,76,70,3,
European,Greece,2245,10,116,6,
European,Hungary,2098,114,213,14,
European,Croatia,1881,10,47,0,
European,Kazakhstan,1852,306,19,2,
European,Iceland,1773,2,10,1,
European,Uzbekistan,1657,92,5,0,
European,Estonia,1535,7,40,0,
European,Azerbaijan,1436,38,19,0,
European,Lithuania,1350,24,37,1,
European,Armenia,1339,48,22,2,
European,Slovenia,1335,5,74,0,
European,Bosnia and Herzegovina,1300,14,49,3,
European,North Macedonia,1225,18,54,3,
European,Slovakia,1173,12,13,1,
European,Bulgaria,929,14,43,0,
European,Cyprus,772,5,17,0,
European,Latvia,739,12,5,0,
European,Andorra,718,1,36,0,
European,Albania,609,47,26,0,
European,Kyrgyzstan,590,22,7,0,
European,San Marino,462,1,39,0,
European,Malta,431,4,3,0,
European,Georgia,408,9,4,0,
European,Montenegro,312,4,5,0,
European,Liechtenstein,82,0,1,0,
European,Monaco,68,0,1,0,
European,Holy See,9,1,0,0,
European Territories,Kosovo[1],572,37,12,0,
European Territories,Isle of Man,297,0,4,0,
European Territories,Jersey,249,4,12,0,
European Territories,Guernsey,239,0,9,0,
European Territories,Faroe Islands,185,0,0,0,
European Territories,Gibraltar,133,0,0,0,
European Territories,Greenland,11,0,0,0,
South-East Asia ,India,18601,1336,590,47,
South-East Asia ,Indonesia,6760,185,590,8,
South-East Asia ,Bangladesh,2948,492,101,10,
South-East Asia ,Thailand,2811,19,48,1,
South-East Asia ,Sri Lanka,304,33,7,0,
South-East Asia ,Myanmar,119,8,5,0,
South-East Asia ,Maldives,67,16,0,0,
South-East Asia ,Nepal,31,0,0,0,
South-East Asia ,Timor-Leste,23,4,0,0,
South-East Asia ,Bhutan,6,1,0,0,
Eastern Mediterranean ,Iran (Islamic Republic of),83505,1294,5209,91,
Eastern Mediterranean ,Saudi Arabia,10484,1122,103,6,
Eastern Mediterranean ,Pakistan,9216,798,192,16,
Eastern Mediterranean ,United Arab Emirates,7265,484,43,2,
Eastern Mediterranean ,Qatar,6015,567,9,1,
Eastern Mediterranean ,Egypt,3333,189,250,11,
Eastern Mediterranean ,Morocco,3046,191,143,2,
Eastern Mediterranean ,Kuwait,1995,80,9,2,
Eastern Mediterranean ,Bahrain,1907,26,7,0,
Eastern Mediterranean ,Iraq,1574,35,82,0,
Eastern Mediterranean ,Oman,1508,98,8,1,
Eastern Mediterranean ,Afghanistan,1026,30,36,3,
Eastern Mediterranean ,Tunisia,884,18,38,1,
Eastern Mediterranean ,Djibouti,846,0,2,0,
Eastern Mediterranean ,Lebanon,677,4,21,0,
Eastern Mediterranean ,Jordan,425,8,7,0,
Eastern Mediterranean ,Somalia,237,73,8,1,
Eastern Mediterranean ,Sudan,107,15,12,0,
Eastern Mediterranean ,Libya,51,0,1,0,
Eastern Mediterranean ,Syrian Arab Republic,39,0,3,0,
Eastern Mediterranean ,Yemen,1,0,0,0,
Eastern Mediterranean Territories,occupied Palestinian territory,329,5,2,0,
