Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific Region,China,14411,2590,304,45,
Western Pacific Region,Japan,20,3,0,0,
Western Pacific Region,Republic of Korea,15,3,0,0,
Western Pacific Region,Viet Nam,7,1,0,0,
Western Pacific Region,Republic of Singapore,18,1,0,0,
Western Pacific Region,Australia,12,0,0,0,
Western Pacific Region,Malaysia,8,0,0,0,
Western Pacific Region,Cambodia,1,0,0,0,
Western Pacific Region,Philippines,2,1,0,0,
South-East Asia Region,Thailand,19,0,0,0,
South-East Asia Region,Federal Democratic Republic of Napal,1,0,0,0,
South-East Asia Region,Sri Lanka,1,0,0,0,
South-East Asia Region,India,2,1,0,0,
Region of the Americas,United States of America,8,1,0,0,
Region of the Americas,Canada,4,0,0,0,
European,France,6,0,0,0,
European,Finland,1,0,0,0,
European,Germany,8,1,0,0,
European,Italy,2,0,0,0,
European,Russian Federation,2,0,0,0,
European,Spain,1,0,0,0,
European,Sweden,1,0,0,0,
European,United Kingdom,2,0,0,0,
Eastern Mediterranean,United Arab Emirates,5,1,0,0,
