Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific Region,China,31211,3151,637,73,
Western Pacific Region,Japan,25,0,0,0,
Western Pacific Region,Republic of Korea,24,1,0,0,
Western Pacific Region,Viet Nam,12,2,0,0,
Western Pacific Region,Singapore,30,2,0,0,
Western Pacific Region,Australia,15,1,0,0,
Western Pacific Region,Malaysia,14,2,0,0,
Western Pacific Region,Cambodia,1,0,0,0,
Western Pacific Region,Philippines,3,0,1,0,
South-East Asia Region,Thailand,25,0,0,0,
South-East Asia Region,Napal,1,0,0,0,
South-East Asia Region,Sri Lanka,1,0,0,0,
South-East Asia Region,India,3,0,0,0,
Region of the Americas,United States of America,12,0,0,0,
Region of the Americas,Canada,7,2,0,0,
European,France,6,0,0,0,
European,Finland,1,0,0,0,
European,Germany,13,1,0,0,
European,Italy,3,1,0,0,
European,Russian Federation,2,0,0,0,
European,Spain,1,0,0,0,
European,Sweden,1,0,0,0,
European,United Kingdom,3,1,0,0,
European,Belgium,1,0,0,0,
Eastern Mediterranean,United Arab Emirates,5,0,0,0,
Other,International Coveyance,61,41,0,0,
