Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific,China,84341,3,4643,1,
Western Pacific,Singapore,13624,931,12,0,
Western Pacific,Japan,13385,203,351,3,
Western Pacific,Republic of Korea,10738,10,243,1,
Western Pacific,Philippines,7579,285,501,7,
Western Pacific,Australia,6713,10,83,2,
Western Pacific,Malaysia,5780,38,98,0,
Western Pacific,New Zealand,1122,1,19,1,
Western Pacific,Viet Nam,270,0,0,0,
Western Pacific,Brunei Darussalam,138,0,1,0,
Western Pacific,Cambodia,122,0,0,0,
Western Pacific,Mongolia,38,1,0,0,
Western Pacific,Lao People's Democratic Republic,19,0,0,0,
Western Pacific,Fiji,18,0,0,0,
Western Pacific,Papua New Guinea,8,0,0,0,
Western Pacific Territories,Guam,137,0,5,0,
Western Pacific Territories,French Polynesia,57,0,0,0,
Western Pacific Territories,New Caledonia,18,0,0,0,
Western Pacific Territories,Northern Mariana Islands (Common- wealth of the),14,0,2,0,
European,Spain,207634,0,23190,666,
European,Italy,197675,2324,26644,260,
European,Germany,155193,1018,5750,110,
European,The United Kingdom,152844,4463,20732,413,
European,France,123279,404,22821,241,
European,Turkey,110130,2357,2805,99,
European,Russian Federation,87147,12559,794,113,
European,Belgium,46134,809,7094,177,
European,Netherlands,37845,655,4475,66,
European,Switzerland,28978,0,1336,0,
European,Portugal,23864,472,903,23,
European,Ireland,19262,701,1087,24,
European,Sweden,18640,463,2194,2,
European,Israel,15398,0,199,0,
European,Austria,15189,55,542,6,
European,Poland,11617,344,535,11,
European,Romania,11036,401,608,33,
European,Belarus,10463,873,72,5,
European,Ukraine,9009,392,220,11,
European,Denmark,8575,130,422,4,
European,Serbia,8042,263,156,5,
European,Norway,7505,38,193,0,
European,Czechia,7404,52,221,3,
European,Finland,4576,101,190,4,
European,Luxembourg,3723,12,88,3,
European,Republic of Moldova,3408,104,96,2,
European,Kazakhstan,2791,190,25,0,
European,Hungary,2583,83,280,8,
European,Greece,2506,0,130,0,
European,Croatia,2030,14,55,1,
European,Uzbekistan,1887,22,8,0,
European,Armenia,1808,62,29,1,
European,Iceland,1792,2,10,0,
European,Azerbaijan,1645,28,21,0,
European,Estonia,1643,8,49,3,
European,Bosnia and Herzegovina,1516,31,58,2,
European,Lithuania,1449,11,41,0,
European,Slovenia,1407,19,82,1,
European,North Macedonia,1386,19,61,2,
European,Slovakia,1379,6,18,1,
European,Bulgaria,1300,53,56,1,
European,Cyprus,817,7,17,0,
European,Latvia,812,8,12,0,
European,Andorra,740,2,40,0,
European,Albania,726,14,28,1,
European,Kyrgyzstan,695,13,8,0,
European,San Marino,538,25,41,1,
European,Georgia,496,11,6,1,
European,Malta,448,0,4,0,
European,Montenegro,321,2,7,1,
European,Liechtenstein,83,0,1,0,
European,Monaco,68,0,1,0,
European,Holy See,9,0,0,0,
European Territories,Kosovo[1],763,32,21,1,
European Territories,Isle of Man,308,0,18,0,
European Territories,Jersey,280,2,19,0,
European Territories,Guernsey,245,0,12,1,
European Territories,Faroe Islands,187,0,0,0,
European Territories,Gibraltar,141,5,0,0,
European Territories,Greenland,11,0,0,0,
South-East Asia ,India,27892,1396,872,48,
South-East Asia ,Indonesia,8882,275,743,23,
South-East Asia ,Bangladesh,5416,418,145,5,
South-East Asia ,Thailand,2931,9,52,1,
South-East Asia ,Sri Lanka,523,63,7,0,
South-East Asia ,Maldives,188,51,0,0,
South-East Asia ,Myanmar,146,0,5,0,
South-East Asia ,Nepal,51,2,0,0,
South-East Asia ,Timor-Leste,24,0,0,0,
South-East Asia ,Bhutan,7,0,0,0,
Eastern Mediterranean ,Iran (Islamic Republic of),90481,1153,5710,60,
Eastern Mediterranean ,Saudi Arabia,17522,1223,139,3,
Eastern Mediterranean ,Pakistan,13328,605,281,12,
Eastern Mediterranean ,United Arab Emirates,10349,536,76,5,
Eastern Mediterranean ,Qatar,10287,929,10,0,
Eastern Mediterranean ,Egypt,4534,215,317,10,
Eastern Mediterranean ,Morocco,4065,168,161,2,
Eastern Mediterranean ,Kuwait,3075,183,20,1,
Eastern Mediterranean ,Bahrain,2647,58,8,0,
Eastern Mediterranean ,Oman,2049,51,10,0,
Eastern Mediterranean ,Iraq,1820,57,87,1,
Eastern Mediterranean ,Afghanistan,1531,68,50,1,
Eastern Mediterranean ,Djibouti,1023,15,2,0,
Eastern Mediterranean ,Tunisia,949,10,38,0,
Eastern Mediterranean ,Lebanon,707,3,24,0,
Eastern Mediterranean ,Jordan,447,3,7,0,
Eastern Mediterranean ,Somalia,436,46,23,5,
Eastern Mediterranean ,Sudan,237,24,21,4,
Eastern Mediterranean ,Libya,61,0,2,0,
