Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific,China,84338,14,4642,0,
Western Pacific,Japan,13182,353,348,14,
Western Pacific,Singapore,12693,618,12,0,
Western Pacific,Republic of Korea,10728,10,242,2,
Western Pacific,Philippines,7294,102,494,17,
Western Pacific,Australia,6703,16,81,2,
Western Pacific,Malaysia,5742,51,98,2,
Western Pacific,New Zealand,1121,4,18,0,
Western Pacific,Viet Nam,270,0,0,0,
Western Pacific,Brunei Darussalam,138,0,1,0,
Western Pacific,Cambodia,122,0,0,0,
Western Pacific,Mongolia,37,1,0,0,
Western Pacific,Lao People's Democratic Republic,19,0,0,0,
Western Pacific,Fiji,18,0,0,0,
Western Pacific,Papua New Guinea,8,0,0,0,
Western Pacific Territories,Guam,137,1,5,0,
Western Pacific Territories,French Polynesia,57,0,0,0,
Western Pacific Territories,New Caledonia,18,0,0,0,
Western Pacific Territories,Northern Mariana Islands (Commonwealth of the),14,0,2,0,
European,Spain,219764,0,22524,0,
European,Italy,195351,2357,26384,415,
European,Germany,154175,1737,5640,140,
European,The United Kingdom,148381,4913,20319,813,
European,France,122875,1537,22580,368,
European,Turkey,107773,2861,2706,106,
European,Russian Federation,74588,5966,681,66,
European,Belgium,45325,1032,6917,238,
European,Netherlands,37190,655,4409,120,
European,Switzerland,28978,383,1336,28,
European,Portugal,23392,595,880,26,
European,Ireland,18561,377,1063,234,
European,Sweden,18177,610,2192,40,
European,Israel,15398,370,199,5,
European,Austria,15134,66,536,23,
European,Poland,11273,381,524,30,
European,Romania,10635,218,575,23,
European,Belarus,9590,817,67,4,
European,Ukraine,8617,492,209,8,
European,Denmark,8445,235,418,15,
European,Serbia,7779,296,151,7,
European,Norway,7467,59,193,2,
European,Czechia,7352,79,218,3,
European,Finland,4475,80,186,9,
European,Luxembourg,3711,16,85,0,
European,Republic of Moldova,3304,194,94,7,
European,Kazakhstan,2601,185,25,0,
European,Greece,2506,16,130,0,
European,Hungary,2500,57,272,10,
European,Croatia,2016,7,54,3,
European,Uzbekistan,1865,29,8,0,
European,Iceland,1790,1,10,0,
European,Armenia,1746,150,28,1,
European,Estonia,1635,30,46,0,
European,Azerbaijan,1617,25,21,0,
European,Bosnia and Herzegovina,1485,57,56,2,
European,Lithuania,1438,28,41,1,
European,Slovenia,1388,15,81,1,
European,Slovakia,1373,13,17,0,
European,North Macedonia,1367,41,59,2,
European,Bulgaria,1247,59,55,1,
European,Cyprus,810,6,17,0,
European,Latvia,804,20,12,0,
European,Andorra,738,5,40,0,
European,Albania,712,34,27,0,
European,Kyrgyzstan,682,17,8,0,
European,San Marino,513,0,40,0,
European,Georgia,485,29,5,0,
European,Malta,448,1,4,1,
European,Montenegro,319,0,6,1,
European,Liechtenstein,83,1,1,0,
European,Monaco,68,0,1,0,
European,Holy See,9,0,0,0,
European Territories,Kosovo[1],731,28,20,1,
European Territories,Isle of Man,308,0,18,1,
European Territories,Jersey,278,2,19,0,
European Territories,Guernsey,245,0,11,1,
European Territories,Faroe Islands,187,0,0,0,
European Territories,Gibraltar,136,3,0,0,
European Territories,Greenland,11,0,0,0,
South-East Asia ,India,26496,1990,824,49,
South-East Asia ,Indonesia,8607,396,720,31,
South-East Asia ,Bangladesh,4998,309,140,9,
South-East Asia ,Thailand,2922,15,51,0,
South-East Asia ,Sri Lanka,460,40,7,0,
