Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific,China,82875,73,3335,4,
Western Pacific,Republic of Korea,10156,94,177,3,
Western Pacific,Australia,5454,230,28,5,
Western Pacific,Malaysia,3333,217,53,3,
Western Pacific,Philippines,3018,385,136,29,
Western Pacific,Japan,2920,303,69,4,
Western Pacific,Singapore,1114,65,5,1,
Western Pacific,New Zealand,824,50,1,0,
Western Pacific,Viet Nam,239,6,0,0,
Western Pacific,Brunei Darussalam,134,1,1,0,
Western Pacific,Cambodia,114,4,0,0,
Western Pacific,Mongolia,14,0,0,0,
Western Pacific,Lao People?s Democratic Republic,10,0,0,0,
Western Pacific,Fiji,7,0,0,0,
Western Pacific,Papua New Guinea,1,0,0,0,
Western Pacific Territories,Guam,84,2,3,0,
Western Pacific Territories,French Polynesia,39,2,0,0,
Western Pacific Territories,New Caledonia,18,0,0,0,
Western Pacific Territories,Northern Mariana Islands (Commonwealth of the),8,0,1,0,
European,Italy,119827,4585,14681,764,
European,Spain,117710,7472,10935,932,
European,Germany,85778,6082,1158,141,
European,France,63536,5209,6493,2003,
European,The United Kingdom,38172,4450,3605,684,
European,Turkey,20921,2786,425,69,
European,Switzerland,19706,862,607,71,
European,Belgium,16770,1422,1143,132,
European,Netherlands,15723,1026,1487,148,
European,Austria,11525,396,168,10,
European,Portugal,9886,852,246,37,
European,Israel,7030,819,36,7,
European,Sweden,6078,612,333,51,
European,Norway,5208,273,44,2,
European,Ireland,4273,424,120,22,
European,Czechia,4190,332,53,9,
European,Russian Federation,4149,601,34,4,
European,Denmark,3757,371,139,16,
European,Poland,3383,437,71,14,
European,Romania,3183,445,133,39,
European,Luxembourg,2612,125,31,1,
European,Finland,1615,97,20,1,
European,Greece,1613,99,59,6,
European,Serbia,1476,305,39,26,
European,Iceland,1364,45,4,0,
European,Ukraine,1096,109,28,5,
European,Croatia,1079,68,8,1,
European,Estonia,961,103,12,1,
European,Slovenia,934,37,20,4,
European,Lithuania,771,122,9,0,
European,Armenia,736,96,7,3,
European,Hungary,678,93,32,11,
European,Republic of Moldova,591,0,9,1,
European,Bosnia and Herzegovina,586,65,18,2,
European,Latvia,493,35,1,1,
European,Bulgaria,485,28,14,4,
European,Kazakhstan,460,25,3,0,
European,Slovakia,450,24,0,0,
European,Azerbaijan,443,43,5,0,
European,Andorra,442,13,16,1,
European,North Macedonia,430,46,12,1,
European,Cyprus,396,40,11,2,
European,Albania,333,56,17,1,
European,Belarus,254,0,4,0,
European,San Marino,252,7,32,2,
European,Uzbekistan,241,20,2,0,
European,Malta,202,7,0,0,
European,Montenegro,160,20,2,0,
European,Georgia,157,9,0,0,
European,Kyrgyzstan,144,14,1,0,
European,Liechtenstein,76,1,0,0,
European,Monaco,37,0,0,0,
European,Holy See,7,0,0,0,
European Territories,Faroe Islands,179,2,0,0,
European Territories,Kosovo[1],132,6,1,0,
European Territories,Jersey,118,37,2,0,
European Territories,Guernsey,114,23,2,1,
European Territories,Isle of Man,114,43,1,0,
European Territories,Gibraltar,95,14,1,1,
European Territories,Greenland,10,0,0,0,
South-East Asia ,India,2301,336,56,6,
South-East Asia ,Indonesia,1986,196,181,11,
South-East Asia ,Thailand,1978,103,19,4,
South-East Asia ,Sri Lanka,151,3,4,1,
South-East Asia ,Bangladesh,61,5,6,0,
South-East Asia ,Myanmar,20,4,1,0,
South-East Asia ,Maldives,19,0,0,0,
South-East Asia ,Nepal,6,0,0,0,
South-East Asia ,Bhutan,5,0,0,0,
South-East Asia ,Timor-Leste,1,0,0,0,
Eastern Mediterranean ,Iran (Islamic Republic of),53183,2715,3294,134,
Eastern Mediterranean ,Pakistan,2450,0,35,0,
Eastern Mediterranean ,Saudi Arabia,2039,154,25,4,
Eastern Mediterranean ,United Arab Emirates,1264,240,9,1,
Eastern Mediterranean ,Qatar,1075,126,3,0,
Eastern Mediterranean ,Egypt,985,120,66,8,
Eastern Mediterranean ,Morocco,844,109,50,3,
Eastern Mediterranean ,Iraq,820,48,54,0,
Eastern Mediterranean ,Bahrain,673,30,4,0,
Eastern Mediterranean ,Lebanon,508,0,17,0,
Eastern Mediterranean ,Tunisia,495,40,18,4,
Eastern Mediterranean ,Kuwait,479,62,1,1,
Eastern Mediterranean ,Jordan,310,11,5,0,
Eastern Mediterranean ,Oman,277,25,1,0,
Eastern Mediterranean ,Afghanistan,270,1,5,0,
Eastern Mediterranean ,Djibouti,50,9,0,0,
Eastern Mediterranean ,Libya,17,7,1,0,
Eastern Mediterranean ,Syrian Arab Republic,16,0,2,0,
Eastern Mediterranean ,Sudan,10,2,2,0,
Eastern Mediterranean ,Somalia,7,2,0,0,
Eastern Mediterranean Territories,occupied Palestinian territory,193,28,1,0,
Region of the Americas,United States of America,241703,28103,5854,1061,
Region of the Americas,Canada,11732,1618,152,25,
Region of the Americas,Brazil,7910,1074,299,58,
Region of the Americas,Chile,3737,333,22,4,
Region of the Americas,Ecuador,3163,0,120,0,
Region of the Americas,Mexico,1510,132,50,13,
Region of the Americas,Dominican Republic,1488,108,68,8,
Region of the Americas,Panama,1475,158,37,5,
Region of the Americas,Peru,1414,91,51,10,
Region of the Americas,Argentina,1265,132,37,6,
Region of the Americas,Colombia,1161,96,19,2,
Region of the Americas,Costa Rica,396,21,2,0,
Region of the Americas,Uruguay,369,19,4,0,
Region of the Americas,Cuba,269,36,6,0,
Region of the Americas,Honduras,222,3,15,1,
Region of the Americas,Venezuela (Bolivarian Republic of),144,0,3,0,
Region of the Americas,Bolivia (Plurinational State of),132,9,9,1,
