Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific,China,84237,36,4642,0,
Western Pacific,Japan,10751,390,171,10,
Western Pacific,Republic of Korea,10674,13,236,2,
Western Pacific,Australia,6612,26,70,1,
Western Pacific,Singapore,6588,596,11,0,
Western Pacific,Philippines,6259,172,409,12,
Western Pacific,Malaysia,5389,84,89,1,
Western Pacific,New Zealand,1105,7,12,1,
Western Pacific,Viet Nam,268,0,0,0,
Western Pacific,Brunei Darussalam,138,1,1,0,
Western Pacific,Cambodia,122,0,0,0,
Western Pacific,Mongolia,32,1,0,0,
Western Pacific,Lao People's Democratic Republic,19,0,0,0,
Western Pacific,Fiji,17,0,0,0,
Western Pacific,Papua New Guinea,7,0,0,0,
Western Pacific Territories,Guam,133,0,5,0,
Western Pacific Territories,French Polynesia,55,0,0,0,
Western Pacific Territories,New Caledonia,18,0,0,0,
Western Pacific Territories,Northern Mariana Islands (Commonwealth of the),14,0,2,0,
European,Spain,195944,4218,20453,410,
European,Italy,178972,3047,23660,433,
European,Germany,141672,1775,4404,110,
European,The United Kingdom,120071,5850,16060,596,
European,France,111463,742,19689,395,
European,Turkey,86306,3977,2017,127,
European,Russian Federation,42853,0,361,0,
European,Belgium,38496,1313,5683,230,
European,Netherlands,32655,1066,3684,83,
European,Switzerland,27658,336,1134,24,
European,Portugal,20206,521,714,27,
European,Ireland,15251,493,610,39,
European,Austria,14710,48,452,9,
European,Sweden,14385,563,1540,29,
European,Israel,13362,255,171,13,
European,Poland,9287,545,360,13,
European,Romania,8746,328,434,17,
European,Denmark,7384,142,355,9,
European,Norway,7068,84,154,6,
European,Czechia,6787,133,188,7,
European,Serbia,6318,324,122,5,
European,Ukraine,5710,261,151,10,
European,Belarus,4779,0,47,2,
European,Finland,3783,102,94,4,
European,Luxembourg,3550,13,73,1,
European,Republic of Moldova,2472,121,67,7,
European,Greece,2235,28,110,5,
European,Hungary,1984,68,199,10,
European,Croatia,1871,39,47,8,
European,Iceland,1771,11,9,0,
European,Uzbekistan,1565,70,5,0,
European,Kazakhstan,1546,0,17,0,
European,Estonia,1528,16,40,2,
European,Azerbaijan,1398,25,19,1,
European,Slovenia,1330,13,74,4,
European,Lithuania,1326,28,36,3,
European,Armenia,1291,43,20,0,
European,Bosnia and Herzegovina,1286,18,46,0,
European,North Macedonia,1207,37,51,2,
European,Slovakia,1161,72,12,1,
European,Bulgaria,915,37,43,2,
European,Cyprus,767,6,17,0,
European,Latvia,727,15,5,0,
European,Andorra,717,13,36,1,
European,Kyrgyzstan,568,14,7,2,
European,Albania,562,14,26,0,
European,San Marino,461,6,39,0,
European,Malta,427,1,3,0,
European,Georgia,399,5,4,0,
European,Montenegro,308,0,5,0,
European,Monaco,98,0,1,0,
European,Liechtenstein,82,0,1,0,
European,Holy See,8,0,0,0,
European Territories,Kosovo[1],535,25,12,0,
European Territories,Isle of Man,297,6,4,0,
European Territories,Jersey,245,11,12,1,
European Territories,Guernsey,239,3,9,0,
European Territories,Faroe Islands,185,1,0,0,
European Territories,Gibraltar,133,0,0,0,
European Territories,Greenland,11,0,0,0,
South-East Asia ,India,17265,1553,543,36,
South-East Asia ,Indonesia,6575,327,582,47,
South-East Asia ,Thailand,2792,27,47,0,
South-East Asia ,Bangladesh,2456,312,91,7,
South-East Asia ,Sri Lanka,271,17,7,0,
South-East Asia ,Myanmar,111,4,5,0,
South-East Asia ,Maldives,51,17,0,0,
South-East Asia ,Nepal,31,0,0,0,
South-East Asia ,Timor-Leste,19,0,0,0,
South-East Asia ,Bhutan,5,0,0,0,
Eastern Mediterranean ,Iran (Islamic Republic of),82211,1343,5118,87,
Eastern Mediterranean ,Saudi Arabia,9362,1088,97,5,
Eastern Mediterranean ,Pakistan,8418,425,176,17,
Eastern Mediterranean ,United Arab Emirates,6781,479,41,4,
Eastern Mediterranean ,Qatar,5448,440,8,0,
Eastern Mediterranean ,Egypt,3144,112,239,15,
Eastern Mediterranean ,Morocco,2855,170,141,4,
Eastern Mediterranean ,Kuwait,1915,164,7,1,
Eastern Mediterranean ,Bahrain,1881,108,7,0,
Eastern Mediterranean ,Iraq,1539,26,82,0,
Eastern Mediterranean ,Oman,1410,144,7,1,
Eastern Mediterranean ,Afghanistan,996,63,33,3,
Eastern Mediterranean ,Tunisia,866,0,37,0,
Eastern Mediterranean ,Djibouti,846,114,2,0,
Eastern Mediterranean ,Lebanon,673,0,21,0,
Eastern Mediterranean ,Jordan,417,4,7,0,
Eastern Mediterranean ,Somalia,164,29,7,0,
Eastern Mediterranean ,Sudan,92,26,12,2,
Eastern Mediterranean ,Libya,51,2,1,0,
Eastern Mediterranean ,Syrian Arab Republic,39,1,3,1,
Eastern Mediterranean ,Yemen,1,0,0,0,
Eastern Mediterranean Territories,occupied Palestinian territory,324,4,2,0,
Region of the Americas,United States of America,723605,28252,34203,1776,
Region of the Americas,Brazil,36599,2917,2347,206,
Region of the Americas,Canada,33909,1509,1506,160,
Region of the Americas,Peru,14420,931,348,48,
Region of the Americas,Chile,10888,1158,133,7,
Region of the Americas,Ecuador,9468,446,474,18,
Region of the Americas,Mexico,7497,622,650,104,
Region of the Americas,Dominican Republic,4680,345,226,9,
Region of the Americas,Panama,4273,63,120,5,
Region of the Americas,Colombia,3621,182,166,13,
Region of the Americas,Argentina,2839,55,132,3,
Region of the Americas,Cuba,1035,49,34,2,
Region of the Americas,Costa Rica,655,6,4,0,
Region of the Americas,Bolivia (Plurinational State of),520,27,32,1,
Region of the Americas,Uruguay,517,9,9,0,
Region of the Americas,Honduras,472,15,46,0,
Region of the Americas,Guatemala,257,22,7,0,
Region of the Americas,Venezuela (Bolivarian Republic of),228,24,9,0,
Region of the Americas,Paraguay,206,4,8,0,
Region of the Americas,El Salvador,201,11,7,0,
Region of the Americas,Jamaica,173,10,5,0,
Region of the Americas,Trinidad and Tobago,114,0,8,0,
Region of the Americas,Barbados,75,0,5,0,
Region of the Americas,Guyana,63,0,7,1,
Region of the Americas,Bahamas,58,4,9,0,
Region of the Americas,Haiti,44,0,3,0,
Region of the Americas,Antigua and Barbuda,23,0,3,1,
Region of the Americas,Belize,18,0,2,0,
Region of the Americas,Dominica,16,0,0,0,
Region of the Americas,Saint Lucia,15,0,0,0,
Region of the Americas,Saint Kitts and Nevis,14,0,0,0,
Region of the Americas,Grenada,13,0,0,0,
Region of the Americas,Saint Vincent and the Grenadines,12,0,0,0,
Region of the Americas,Suriname,10,0,1,0,
Region of the Americas,Nicaragua,9,0,1,0,
Region of the Americas Territories,Puerto Rico,1213,95,62,2,
Region of the Americas Territories,Martinique,163,0,12,0,
Region of the Americas Territories,Guadeloupe,148,3,11,0,
Region of the Americas Territories,Aruba,97,1,2,0,
Region of the Americas Territories,French Guiana,96,0,0,0,
Region of the Americas Territories,Bermuda,86,3,5,0,
Region of the Americas Territories,Sint Maarten,64,7,9,0,
Region of the Americas Territories,Cayman Islands,61,0,1,0,
Region of the Americas Territories,United States Virgin Islands,53,0,3,0,
Region of the Americas Territories,Saint Martin,37,0,2,0,
Region of the Americas Territories,Curacao,14,0,1,0,
Region of the Americas Territories,Falkland Islands (Malvinas),11,0,0,0,
Region of the Americas Territories,Montserrat,11,0,0,0,
Region of the Americas Territories,Turks and Caicos Islands,11,0,1,0,
Region of the Americas Territories,Saint Barthelemy,6,0,0,0,
Region of the Americas Territories,"Bonaire, Sint Eustatius and Saba",5,0,0,0,
Region of the Americas Territories,British Virgin Islands,4,1,1,1,
Region of the Americas Territories,Anguilla,3,0,0,0,
Region of the Americas Territories,Saint Pierre and Miquelon,1,0,0,0,
African ,South Africa,3158,124,54,2,
African ,Algeria,2629,95,375,8,
African ,Ghana,1042,208,9,0,
African ,Cameroon,1016,0,21,0,
African ,Cote d?Ivoire,847,105,9,3,
African ,Niger,648,9,20,1,
African ,Burkina Faso,565,18,36,4,
African ,Nigeria,541,168,19,8,
African ,Guinea,477,0,3,0,
African ,Senegal,367,17,3,0,
African ,Democratic Republic of the Congo,332,5,25,0,
African ,Mauritius,328,3,9,0,
African ,Kenya,270,8,14,2,
African ,Mali,224,8,14,1,
African ,United Republic of Tanzania,171,23,7,2,
African ,Rwanda,147,3,0,0,
African ,Congo,143,0,6,0,
African ,Madagascar,121,1,0,0,
African ,Gabon,109,1,1,0,
African ,Ethiopia,108,3,3,0,
African ,Liberia,91,10,8,1,
African ,Togo,83,0,5,0,
African ,Equatorial Guinea,79,0,0,0,
African ,Zambia,61,4,3,1,
African ,Cabo Verde,55,0,1,0,
African ,Uganda,55,0,0,0,
African ,Guinea-Bissau,50,0,0,0,
African ,Eritrea,39,0,0,0,
African ,Benin,37,0,1,0,
African ,Mozambique,35,4,0,0,
African ,Sierra Leone,35,5,0,0,
African ,Chad,33,0,0,0,
African ,Zimbabwe,25,0,3,0,
African ,Eswatini,22,0,1,0,
African ,Botswana,20,5,1,0,
African ,Angola,19,0,2,0,
African ,Malawi,17,0,2,0,
African ,Namibia,16,0,0,0,
African ,Central African Republic,12,0,0,0,
African ,Seychelles,11,0,0,0,
African ,Gambia,9,0,1,0,
African ,Mauritania,7,0,1,0,
African ,Burundi,6,1,1,1,
African ,Sao Tome and Principe,4,0,0,0,
African ,South Sudan,4,0,0,0,
African Territories,Reunion,408,1,0,0,
African Territories,Mayotte,284,39,4,0,
