Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific,China,83005,75,3340,2,
Western Pacific,Republic of Korea,10284,47,186,3,
Western Pacific,Australia,5744,109,36,2,
Western Pacific,Malaysia,3662,179,61,4,
Western Pacific,Japan,3654,383,73,3,
Western Pacific,Philippines,3246,152,152,8,
Western Pacific,Singapore,1309,120,6,1,
Western Pacific,New Zealand,911,39,1,0,
Western Pacific,Viet Nam,241,1,0,0,
Western Pacific,Brunei Darussalam,135,0,1,0,
Western Pacific,Cambodia,114,0,0,0,
Western Pacific,Mongolia,14,0,0,0,
Western Pacific,Fiji,12,0,0,0,
Western Pacific,Lao People's Democratic Republic,11,1,0,0,
Western Pacific,Papua New Guinea,1,0,0,0,
Western Pacific Territories,Guam,112,19,4,0,
Western Pacific Territories,French Polynesia,41,1,0,0,
Western Pacific Territories,New Caledonia,18,0,0,0,
Western Pacific Territories,Northern Mariana Islands (Commonwealth of the),8,0,1,0,
European,Spain,130759,6023,12418,674,
European,Italy,128948,4316,15889,527,
European,Germany,95391,3677,1434,92,
European,France,69607,1850,8064,518,
European,The United Kingdom,47810,5903,4934,621,
European,Turkey,27069,3135,574,73,
European,Switzerland,21065,576,715,49,
European,Belgium,19691,1260,1447,164,
European,Netherlands,17851,1224,1766,115,
European,Austria,11983,217,204,18,
European,Portugal,11278,754,295,29,
European,Israel,8018,429,46,4,
European,Sweden,6830,387,401,28,
European,Norway,5640,130,58,8,
European,Russian Federation,5389,658,45,2,
European,Ireland,5111,507,158,21,
European,Czechia,4587,115,67,8,
European,Denmark,4369,292,179,18,
European,Poland,4102,475,94,15,
European,Romania,3864,251,148,7,
European,Luxembourg,2804,75,36,5,
European,Finland,1927,45,28,3,
European,Serbia,1908,284,51,12,
European,Greece,1735,62,73,5,
European,Iceland,1486,69,4,0,
European,Ukraine,1319,68,38,6,
European,Croatia,1182,56,15,3,
European,Estonia,1097,79,15,2,
European,Slovenia,997,20,28,6,
European,Republic of Moldova,864,112,15,3,
European,Lithuania,811,40,13,4,
European,Armenia,746,0,7,0,
European,Hungary,744,11,38,4,
European,Bosnia and Herzegovina,662,30,21,0,
European,Kazakhstan,604,73,5,0,
European,Azerbaijan,584,72,5,0,
European,Belarus,562,122,8,4,
European,North Macedonia,555,72,18,1,
European,Latvia,533,24,1,0,
European,Bulgaria,531,28,20,3,
European,Andorra,523,57,17,0,
European,Slovakia,485,14,0,0,
European,Cyprus,446,20,14,3,
European,Uzbekistan,390,92,2,0,
European,Albania,377,44,21,3,
European,San Marino,266,7,32,0,
European,Malta,234,21,0,0,
