Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
African ,South Africa,6336,385,123,7,
African ,Algeria,4295,141,459,6,
African ,Nigeria,2388,218,85,17,
African ,Ghana,2169,95,18,1,
African ,Cameroon,2077,8,64,3,
African ,Guinea,1586,49,7,0,
African ,Cote d?Ivoire,1362,87,15,1,
African ,Senegal,1115,91,9,0,
African ,Niger,736,8,35,2,
African ,Democratic Republic of the Congo,674,70,33,1,
African ,Burkina Faso,652,3,44,0,
African ,Mali,544,36,26,0,
African ,United Republic of Tanzania,480,0,18,1,
African ,Kenya,435,24,22,1,
African ,Gabon,335,27,5,1,
African ,Mauritius,332,0,10,0,
African ,Equatorial Guinea,315,0,2,0,
African ,Guinea-Bissau,260,3,1,0,
African ,Rwanda,255,6,0,0,
African ,Congo,229,0,10,0,
African ,Sierra Leone,155,19,8,0,
African ,Liberia,154,2,18,0,
African ,Cabo Verde,152,31,2,1,
African ,Madagascar,149,14,0,0,
African ,Ethiopia,133,0,3,0,
African ,Togo,123,0,9,0,
African ,Zambia,119,10,3,0,
African ,Chad,117,44,10,5,
African ,Eswatini,108,2,1,0,
African ,Benin,90,0,2,0,
African ,Uganda,85,2,0,0,
African ,Mozambique,79,0,0,0,
African ,Central African Republic,72,8,0,0,
African ,South Sudan,45,0,0,0,
African ,Eritrea,39,0,0,0,
African ,Malawi,38,1,3,0,
African ,Angola,35,6,2,0,
African ,Zimbabwe,34,0,4,0,
African ,Botswana,23,0,1,0,
African ,Sao Tome and Principe,23,7,3,2,
African ,Burundi,19,4,1,0,
African ,Gambia,17,5,1,0,
African ,Namibia,16,0,0,0,
African ,Seychelles,11,0,0,0,
African ,Mauritania,8,0,1,0,
African ,Comoros,3,2,0,0,
African Territories,Mayotte,596,57,6,2,
African Territories,Reunion,420,0,0,0,
Region of the Americas,United States of America,1093880,26753,62406,5000,
Region of the Americas,Brazil,91589,6209,6329,428,
Region of the Americas,Canada,55572,1915,3446,223,
Region of the Americas,Peru,40459,3483,1124,73,
Region of the Americas,Ecuador,27464,1128,1371,308,
Region of the Americas,Mexico,20739,1515,1972,113,
Region of the Americas,Chile,18435,1427,247,13,
Region of the Americas,Dominican Republic,7578,290,326,13,
Region of the Americas,Colombia,7006,499,314,21,
Region of the Americas,Panama,6720,188,192,4,
Region of the Americas,Argentina,4532,56,229,9,
Region of the Americas,Cuba,1611,74,66,2,
Region of the Americas,Bolivia (Plurinational State of),1229,62,66,4,
Region of the Americas,Honduras,899,95,75,0,
Region of the Americas,Costa Rica,725,6,6,0,
Region of the Americas,Uruguay,648,5,17,0,
Region of the Americas,Guatemala,644,45,18,2,
Region of the Americas,El Salvador,446,22,10,0,
Region of the Americas,Jamaica,432,10,8,0,
Region of the Americas,Venezuela (Bolivarian Republic of),345,12,10,0,
Region of the Americas,Paraguay,333,67,10,0,
Region of the Americas,Trinidad and Tobago,116,0,8,0,
Region of the Americas,Haiti,85,4,8,0,
Region of the Americas,Bahamas,82,1,11,0,
Region of the Americas,Guyana,82,0,9,0,
Region of the Americas,Barbados,81,0,7,0,
Region of the Americas,Antigua and Barbuda,24,0,3,0,
Region of the Americas,Grenada,20,0,0,0,
Region of the Americas,Belize,18,0,2,0,
Region of the Americas,Saint Lucia,17,0,0,0,
Region of the Americas,Dominica,16,0,0,0,
Region of the Americas,Saint Vincent and the Grenadines,16,0,0,0,
Region of the Americas,Saint Kitts and Nevis,15,0,0,0,
Region of the Americas,Nicaragua,14,0,4,0,
Region of the Americas,Suriname,10,0,1,0,
Region of the Americas Territories,Puerto Rico,1757,182,54,0,
Region of the Americas Territories,Martinique,180,1,14,0,
Region of the Americas Territories,Guadeloupe,152,0,12,0,
Region of the Americas Territories,French Guiana,128,0,1,0,
Region of the Americas Territories,Bermuda,114,0,6,0,
Region of the Americas Territories,Aruba,100,0,2,0,
Region of the Americas Territories,Sint Maarten,76,0,13,0,
Region of the Americas Territories,Cayman Islands,74,1,1,0,
Region of the Americas Territories,United States Virgin Islands,66,0,4,0,
Region of the Americas Territories,Saint Martin,38,0,3,0,
Region of the Americas Territories,Curacao,16,0,1,0,
Region of the Americas Territories,Falkland Islands (Malvinas),13,0,0,0,
Region of the Americas Territories,Turks and Caicos Islands,12,0,1,0,
Region of the Americas Territories,Montserrat,11,0,1,0,
Region of the Americas Territories,"Bonaire, Sint Eustatius and Saba",6,0,0,0,
Region of the Americas Territories,British Virgin Islands,6,0,1,0,
Region of the Americas Territories,Saint Barthelemy,6,0,0,0,
Region of the Americas Territories,Anguilla,3,0,0,0,
Region of the Americas Territories,Saint Pierre and Miquelon,1,0,0,0,
Eastern Mediterranean ,Iran (Islamic Republic of),96448,802,6156,65,
Eastern Mediterranean ,Saudi Arabia,25459,1362,176,7,
Eastern Mediterranean ,Pakistan,19103,989,440,23,
Eastern Mediterranean ,Qatar,14872,776,12,0,
Eastern Mediterranean ,United Arab Emirates,13599,561,119,8,
Eastern Mediterranean ,Egypt,6193,298,415,9,
Eastern Mediterranean ,Morocco,4729,160,173,2,
Eastern Mediterranean ,Kuwait,4619,242,33,3,
Eastern Mediterranean ,Bahrain,3284,114,8,0,
Eastern Mediterranean ,Oman,2568,85,12,1,
Eastern Mediterranean ,Afghanistan,2469,0,72,0,
Eastern Mediterranean ,Iraq,2219,66,95,1,
Eastern Mediterranean ,Djibouti,1112,15,2,0,
Eastern Mediterranean ,Tunisia,1009,11,42,1,
Eastern Mediterranean ,Lebanon,733,4,25,1,
Eastern Mediterranean ,Somalia,671,70,31,3,
Eastern Mediterranean ,Sudan,592,59,41,5,
Eastern Mediterranean ,Jordan,460,1,9,1,
Eastern Mediterranean ,Libya,63,0,3,0,
Eastern Mediterranean ,Syrian Arab Republic,44,0,3,0,
Eastern Mediterranean ,Yemen,10,3,2,0,
Eastern Mediterranean Territories,occupied Palestinian territory,353,0,2,0,
European,Spain,216582,1366,25100,276,
European,Italy,209328,1900,28710,474,
European,The United Kingdom,182264,4806,28131,621,
European,Germany,162496,793,6649,74,
European,Russian Federation,134687,10633,1280,58,
European,France,129458,736,24724,164,
European,Turkey,124375,1983,3336,78,
European,Belgium,49517,485,7765,62,
European,Netherlands,40236,445,4987,94,
European,Switzerland,29734,112,1466,32,
European,Portugal,25190,0,1023,16,
European,Sweden,22082,562,2669,16,
European,Ireland,21176,343,1265,0,
European,Israel,16152,0,227,0,
European,Belarus,15828,911,97,4,
European,Austria,15558,27,596,7,
European,Poland,13375,270,664,13,
European,Romania,12732,165,771,27,
European,Ukraine,11913,502,288,9,
European,Denmark,9407,96,475,15,
European,Serbia,9362,157,189,4,
European,Norway,7759,0,204,0,
European,Czechia,7755,18,245,5,
European,Finland,5179,128,220,2,
European,Republic of Moldova,4052,72,124,2,
European,Kazakhstan,3877,92,26,1,
European,Luxembourg,3812,10,92,0,
European,Hungary,2998,56,340,5,
European,Greece,2620,29,143,3,
European,Armenia,2386,113,35,2,
European,Uzbekistan,2127,33,9,0,
European,Croatia,2088,3,77,2,
European,Azerbaijan,1894,40,25,0,
European,Iceland,1798,0,10,0,
European,Bosnia and Herzegovina,1757,0,68,0,
European,Estonia,1699,5,53,1,
European,Bulgaria,1594,6,72,3,
European,North Macedonia,1506,12,82,1,
European,Slovenia,1439,5,94,1,
European,Slovakia,1407,4,24,1,
European,Lithuania,1406,7,46,1,
European,Latvia,871,1,16,0,
European,Cyprus,864,7,20,0,
European,Albania,795,6,31,0,
European,Kyrgyzstan,795,26,10,2,
European,Andorra,747,1,44,1,
European,Georgia,589,7,8,0,
European,San Marino,580,0,41,0,
European,Malta,467,0,4,0,
European,Montenegro,322,0,7,0,
European,Liechtenstein,83,0,1,0,
European,Tajikistan,76,44,2,2,
European,Monaco,68,0,1,0,
European,Holy See,11,0,0,0,
European Territories,Kosovo[1],823,10,22,0,
European Territories,Isle of Man,315,4,23,1,
European Territories,Jersey,290,0,23,1,
European Territories,Guernsey,252,1,13,0,
European Territories,Faroe Islands,187,0,0,0,
European Territories,Gibraltar,144,0,0,0,
European Territories,Greenland,11,0,0,0,
South-East Asia ,India,39980,2644,1301,83,
South-East Asia ,Indonesia,10843,292,831,31,
South-East Asia ,Bangladesh,8790,552,175,5,
South-East Asia ,Thailand,2969,3,54,0,
South-East Asia ,Sri Lanka,705,15,7,0,
South-East Asia ,Maldives,519,51,1,0,
South-East Asia ,Myanmar,151,0,6,0,
South-East Asia ,Nepal,59,0,0,0,
South-East Asia ,Timor-Leste,24,0,0,0,
South-East Asia ,Bhutan,7,0,0,0,
Western Pacific,China,84393,5,4643,0,
