Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific,China,82447,106,3310,4,
Western Pacific,Republic of Korea,9661,78,158,6,
Western Pacific,Australia,3966,0,16,0,
Western Pacific,Malaysia,2470,150,34,7,
Western Pacific,Japan,1866,173,54,2,
Western Pacific,Philippines,1418,343,71,3,
Western Pacific,Singapore,844,42,3,1,
Western Pacific,New Zealand,552,76,1,0,
Western Pacific,Viet Nam,188,9,0,0,
Western Pacific,Brunei Darussalam,126,6,1,0,
Western Pacific,Cambodia,103,1,0,0,
Western Pacific,Mongolia,12,0,0,0,
Western Pacific,Lao People's Democratic Republic,8,2,0,0,
Western Pacific,Fiji,5,0,0,0,
Western Pacific,Papua New Guinea,1,0,0,0,
Western Pacific Territories,Guam,56,0,1,0,
Western Pacific Territories,French Polynesia,35,1,0,0,
Western Pacific Territories,New Caledonia,15,0,0,0,
Western Pacific Territories,Northern Mariana Islands (Commonwealth of the),2,0,0,0,
European,Italy,97689,5217,10781,758,
European,Spain,78797,6549,6528,838,
European,Germany,57298,4751,455,66,
European,France,39642,2497,2602,291,
European,The United Kingdom,19526,2433,1228,209,
European,Switzerland,14274,1122,257,22,
European,Netherlands,10866,1104,771,132,
European,Belgium,10836,1702,431,78,
European,Turkey,9271,1869,131,23,
European,Austria,8813,522,86,18,
European,Portugal,5962,792,119,19,
European,Israel,4247,382,15,0,
European,Norway,4102,257,22,2,
European,Sweden,3700,253,110,8,
European,Czechia,2829,166,16,5,
European,Ireland,2615,200,46,10,
European,Denmark,2395,194,72,7,
European,Luxembourg,1950,119,21,3,
European,Poland,1862,224,22,4,
European,Romania,1760,308,40,11,
European,Russian Federation,1534,0,10,2,
European,Finland,1218,0,11,2,
European,Greece,1156,95,38,6,
European,Iceland,1020,57,2,0,
European,Serbia,741,82,13,3,
European,Slovenia,730,39,11,2,
European,Croatia,713,56,6,1,
European,Estonia,679,39,3,2,
European,Lithuania,484,90,7,0,
European,Armenia,482,58,3,0,
European,Ukraine,480,62,11,2,
European,Hungary,447,39,15,2,
European,Latvia,376,71,0,0,
European,Bulgaria,346,15,8,1,
European,Andorra,341,20,6,2,
European,Slovakia,336,41,0,0,
European,Bosnia and Herzegovina,325,56,6,0,
European,Kazakhstan,294,29,1,0,
European,Republic of Moldova,263,32,2,0,
European,North Macedonia,259,18,6,2,
European,San Marino,229,1,24,2,
European,Albania,223,11,10,0,
European,Cyprus,214,35,6,1,
European,Azerbaijan,190,26,4,0,
European,Malta,151,12,0,0,
European,Uzbekistan,145,12,2,0,
European,Georgia,98,8,0,0,
European,Belarus,94,0,0,0,
European,Montenegro,85,3,1,0,
European,Kyrgyzstan,84,0,0,0,
European,Liechtenstein,62,1,0,0,
European,Monaco,46,27,0,0,
European,Holy See,6,2,0,0,
European Territories,Faroe Islands,159,4,0,0,
European Territories,Kosovo,94,3,1,0,
European Territories,Gibraltar,65,9,0,0,
European Territories,Jersey,63,2,2,1,
European Territories,Isle of Man,42,10,0,0,
European Territories,Guernsey,39,0,0,0,
European Territories,Greenland,10,0,0,0,
South-East Asia ,Thailand,1524,136,9,2,
South-East Asia ,Indonesia,1285,130,114,12,
South-East Asia ,India,1071,92,29,4,
South-East Asia ,Sri Lanka,120,14,1,1,
South-East Asia ,Bangladesh,49,1,5,0,
South-East Asia ,Maldives,17,1,0,0,
South-East Asia ,Myanmar,8,0,0,0,
South-East Asia ,Nepal,5,0,0,0,
South-East Asia ,Bhutan,4,1,0,0,
South-East Asia ,Timor-Leste,1,0,0,0,
Eastern Mediterranean ,Iran (Islamic Republic of),38309,2901,2640,123,
Eastern Mediterranean ,Pakistan,1625,99,18,5,
Eastern Mediterranean ,Saudi Arabia,1299,96,8,4,
Eastern Mediterranean ,Qatar,634,44,2,1,
Eastern Mediterranean ,Egypt,609,33,40,4,
Eastern Mediterranean ,United Arab Emirates,570,102,3,1,
Eastern Mediterranean ,Iraq,547,41,42,0,
Eastern Mediterranean ,Morocco,516,79,27,1,
Eastern Mediterranean ,Bahrain,515,39,4,0,
Eastern Mediterranean ,Lebanon,438,26,10,2,
Eastern Mediterranean ,Tunisia,312,34,8,0,
Eastern Mediterranean ,Jordan,259,13,3,2,
Eastern Mediterranean ,Kuwait,255,20,0,0,
Eastern Mediterranean ,Oman,167,0,0,0,
Eastern Mediterranean ,Afghanistan,114,0,4,0,
Eastern Mediterranean ,Djibouti,19,4,0,0,
Eastern Mediterranean ,Syrian Arab Republic,9,4,1,1,
Eastern Mediterranean ,Libya,8,5,0,0,
Eastern Mediterranean ,Sudan,6,1,2,1,
Eastern Mediterranean ,Somalia,3,0,0,0,
Eastern Mediterranean Territories,occupied Palestinian territory,115,11,1,0,
Region of the Americas,United States of America,122653,19332,2112,444,
Region of the Americas,Canada,5655,898,61,6,
Region of the Americas,Brazil,3904,487,114,22,
Region of the Americas,Chile,1909,0,6,0,
Region of the Americas,Ecuador,1835,12,48,0,
Region of the Americas,Panama,901,115,17,3,
Region of the Americas,Mexico,848,131,16,4,
Region of the Americas,Argentina,745,55,19,2,
