Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific,China,83305,56,3345,1,
Western Pacific,Republic of Korea,10450,27,208,4,
Western Pacific,Australia,6152,100,52,2,
Western Pacific,Japan,5347,579,88,3,
Western Pacific,Malaysia,4228,109,67,2,
Western Pacific,Philippines,4076,206,203,21,
Western Pacific,Singapore,1910,287,7,1,
Western Pacific,New Zealand,1015,23,1,0,
Western Pacific,Viet Nam,255,4,0,0,
Western Pacific,Brunei Darussalam,135,0,1,0,
Western Pacific,Cambodia,118,1,0,0,
Western Pacific,Mongolia,16,0,0,0,
Western Pacific,Fiji,15,0,0,0,
Western Pacific,Lao People's Democratic Republic,15,0,0,0,
Western Pacific,Papua New Guinea,2,0,0,0,
Western Pacific Territories,Guam,128,3,4,0,
Western Pacific Territories,French Polynesia,51,0,0,0,
Western Pacific Territories,New Caledonia,18,0,0,0,
Western Pacific Territories,Northern Mariana Islands (Commonwealth of the),11,0,2,0,
European,Spain,152446,5756,15238,683,
European,Italy,143626,4204,18281,612,
European,Germany,113525,5323,2373,266,
European,France,85351,4256,12192,1339,
European,The United Kingdom,65081,4344,7978,881,
European,Turkey,42282,4056,908,96,
European,Belgium,24983,1580,2523,283,
European,Switzerland,23495,785,756,51,
European,Netherlands,21762,1213,2396,148,
European,Portugal,13956,815,409,29,
European,Austria,13248,279,295,22,
European,Russian Federation,11917,1786,94,18,
European,Israel,9755,351,79,8,
European,Sweden,9141,722,793,106,
European,Ireland,7393,1169,263,28,
European,Norway,6160,150,88,8,
European,Denmark,5635,233,237,19,
European,Poland,5575,370,174,15,
European,Czechia,5569,257,112,13,
European,Romania,5202,441,229,20,
European,Luxembourg,3115,81,52,6,
European,Serbia,2867,201,65,0,
European,Finland,2605,118,42,2,
European,Ukraine,2203,311,69,12,
European,Greece,1955,71,86,3,
European,Iceland,1648,32,6,0,
European,Croatia,1407,64,20,1,
European,Republic of Moldova,1289,115,29,1,
European,Estonia,1207,22,24,0,
European,Hungary,1190,210,77,11,
European,Slovenia,1124,33,43,3,
European,Belarus,1066,0,13,0,
European,Lithuania,955,43,15,0,
European,Armenia,937,16,11,1,
European,Azerbaijan,926,104,9,1,
European,Bosnia and Herzegovina,875,59,36,1,
European,Kazakhstan,802,75,9,2,
European,Slovakia,701,19,2,0,
European,North Macedonia,663,46,30,0,
European,Bulgaria,624,31,24,0,
European,Uzbekistan,624,69,3,0,
European,Andorra,589,23,26,2,
European,Latvia,589,12,2,0,
European,Cyprus,564,38,15,1,
European,Albania,416,7,23,1,
European,San Marino,344,36,34,0,
European,Malta,337,38,2,1,
European,Kyrgyzstan,298,18,5,1,
European,Montenegro,252,4,2,0,
European,Georgia,230,16,3,0,
European,Liechtenstein,79,0,1,0,
European,Monaco,54,0,0,0,
European,Holy See,8,0,0,0,
