Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific,China,84201,21,4642,0,
Western Pacific,Republic of Korea,10661,8,234,2,
Western Pacific,Japan,10361,566,161,7,
Western Pacific,Australia,6586,53,69,2,
Western Pacific,Philippines,6087,209,397,10,
Western Pacific,Singapore,5992,942,11,0,
Western Pacific,Malaysia,5305,54,88,2,
Western Pacific,New Zealand,1098,4,11,0,
Western Pacific,Viet Nam,268,0,0,0,
Western Pacific,Brunei Darussalam,137,1,1,0,
Western Pacific,Cambodia,122,0,0,0,
Western Pacific,Mongolia,31,0,0,0,
Western Pacific,Lao People's Democratic Republic,19,0,0,0,
Western Pacific,Fiji,17,0,0,0,
Western Pacific,Papua New Guinea,7,0,0,0,
Western Pacific Territories,Guam,136,1,5,0,
Western Pacific Territories,French Polynesia,55,0,0,0,
Western Pacific Territories,New Caledonia,18,0,0,0,
Western Pacific Territories,Northern Mariana Islands (Commonwealth of the),14,0,2,0,
European,Spain,191726,3658,20043,565,
European,Italy,175925,3491,23227,480,
European,Germany,139897,2458,4294,184,
European,The United Kingdom,114221,5525,15464,888,
European,France,110721,2558,19294,635,
European,Turkey,82329,3783,1890,121,
European,Russian Federation,42853,6060,361,48,
European,Belgium,37183,1045,5453,290,
European,Netherlands,31589,1140,3601,142,
European,Switzerland,27322,325,1110,52,
European,Portugal,19685,663,687,30,
European,Ireland,14758,778,571,41,
European,Austria,14662,59,443,12,
European,Sweden,13822,606,1511,111,
European,Israel,13107,252,158,10,
European,Poland,8742,363,347,15,
European,Romania,8418,351,417,17,
European,Denmark,7242,169,346,10,
European,Norway,6984,193,148,12,
European,Czechia,6654,105,181,8,
European,Serbia,5994,304,117,7,
European,Ukraine,5449,343,141,8,
European,Belarus,4779,0,45,2,
European,Finland,3681,192,90,8,
European,Luxembourg,3537,57,72,0,
European,Republic of Moldova,2351,87,60,4,
European,Greece,2207,0,105,0,
European,Hungary,1916,82,189,17,
European,Croatia,1832,18,39,3,
European,Iceland,1760,6,9,1,
European,Kazakhstan,1546,0,17,0,
European,Estonia,1512,53,38,0,
European,Uzbekistan,1495,45,5,1,
European,Azerbaijan,1373,33,18,3,
European,Slovenia,1317,13,70,4,
European,Lithuania,1298,59,33,0,
European,Bosnia and Herzegovina,1268,58,46,2,
European,Armenia,1248,47,20,1,
European,North Macedonia,1170,53,49,0,
European,Slovakia,1089,40,11,2,
European,Bulgaria,878,32,41,0,
European,Cyprus,761,26,17,0,
European,Latvia,712,30,5,0,
European,Andorra,704,1,35,0,
European,Kyrgyzstan,554,48,5,0,
European,Albania,548,0,26,0,
European,San Marino,455,29,39,1,
European,Malta,426,4,3,0,
European,Georgia,394,9,4,1,
European,Montenegro,308,3,5,0,
European,Monaco,98,0,1,0,
European,Liechtenstein,82,1,1,0,
European,Holy See,8,0,0,0,
European Territories,Kosovo[1],510,30,12,0,
European Territories,Isle of Man,291,2,4,0,
European Territories,Guernsey,236,2,9,0,
European Territories,Jersey,234,11,11,1,
European Territories,Faroe Islands,184,0,0,0,
European Territories,Gibraltar,133,0,0,0,
European Territories,Greenland,11,0,0,0,
South-East Asia ,India,15712,1334,507,27,
South-East Asia ,Indonesia,6248,325,535,15,
South-East Asia ,Thailand,2765,32,47,0,
South-East Asia ,Bangladesh,2144,306,84,9,
South-East Asia ,Sri Lanka,254,10,7,0,
South-East Asia ,Myanmar,107,13,5,0,
