Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific Region,China,11821,2101,259,46,
Western Pacific Region,Japan,17,3,0,0,
Western Pacific Region,Republic of Korea,12,1,0,0,
Western Pacific Region,Viet Nam,6,1,0,0,
Western Pacific Region,Republic of Singapore,16,3,0,0,
Western Pacific Region,Australia,12,3,0,0,
Western Pacific Region,Malaysia,8,0,0,0,
Western Pacific Region,Cambodia,1,0,0,0,
Western Pacific Region,Philippines,1,0,0,0,
South-East Asia Region,Thailand,19,4,0,0,
South-East Asia Region,Federal Democratic Republic of Napal,1,0,0,0,
South-East Asia Region,Sri Lanka,1,0,0,0,
South-East Asia Region,India,1,0,0,0,
Region of the Americas,United States of America,7,1,0,0,
Region of the Americas,Canada,4,1,0,0,
European,France,6,0,0,0,
European,Finland,1,0,0,0,
European,Germany,7,2,0,0,
European,Italy,2,2,0,0,TRUE
European,Russian Federation,2,1,0,0,TRUE
European,Spain,1,1,0,0,TRUE
European,Sweden,1,1,0,0,TRUE
European,United Kingdom,2,2,0,0,TRUE
Eastern Mediterranean,United Arab Emirates,4,0,0,0,
