Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New,
Western Pacific Region,China,77262,220,2595,150,,
Western Pacific Region,Republic of Korea,763,161,7,2,,
Western Pacific Region,Japan,144,12,1,0,,
Western Pacific Region,Singapore,89,0,0,0,,
Western Pacific Region,Malaysia,22,0,0,0,,
Western Pacific Region,Australia,22,0,0,0,,
Western Pacific Region,Viet Nam,16,0,0,0,,
Western Pacific Region,Philippines,3,0,1,0,,
South-East Asia Region,Thailand,35,0,0,0,,
South-East Asia Region,India,3,0,0,0,,
South-East Asia Region,Cambodia,1,0,0,0,,
South-East Asia Region,Napal,1,0,0,0,,
South-East Asia Region,Sri Lanka,1,0,0,0,,
Region of the Americas,United States of America,35,0,0,0,,
Region of the Americas,Canada,9,0,0,0,,
European,Italy,124,48,2,0,,
European,Germany,16,0,0,0,,
European,France,12,0,1,0,,
European,United Kingdom,9,0,0,0,,
European,Isreal,1,0,0,0,,
European,Russian Federation,2,0,0,0,,
European,Spain,2,0,0,0,,
European,Finland,1,0,0,0,,
European,Sweden,1,0,0,0,,
European,Belgium,1,0,0,0,,
Eastern Mediterranean,Iran,43,15,8,3,,
Eastern Mediterranean,United Arab Emirates,13,0,0,0,,
Eastern Mediterranean,Egypt,1,0,0,0,,
Eastern Mediterranean,Kuwait,3,3,0,0,TRUE,
Eastern Mediterranean,Lebanon,1,0,0,0,,
Other,International Coveyance,634,0,3,1,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
