Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific Region,China,78191,411,2718,52,
Western Pacific Region,Republic of Korea,1261,284,12,2,
Western Pacific Region,Japan,164,7,1,0,
Western Pacific Region,Singapore,91,1,0,0,
Western Pacific Region,Australia,23,1,0,0,
Western Pacific Region,Malaysia,22,0,0,0,
Western Pacific Region,Viet Nam,16,0,0,0,
Western Pacific Region,Cambodia,1,0,0,0,
Western Pacific Region,Philippines,3,0,1,0,
South-East Asia Region,Thailand,40,3,0,0,
South-East Asia Region,India,3,0,0,0,
South-East Asia Region,Napal,1,0,0,0,
South-East Asia Region,Sri Lanka,1,0,0,0,
Region of the Americas,United States of America,53,0,0,0,
Region of the Americas,Canada,10,0,0,0,
European,Italy,322,93,11,5,
European,Germany,18,2,0,0,
European,France,12,0,1,0,
European,Austria,2,2,0,0,TRUE
European,United Kingdom,13,0,0,0,
European,Croatia,2,2,0,0,TRUE
European,Isreal,2,0,0,0,
European,Russian Federation,2,0,0,0,
European,Spain,2,0,0,0,
European,Finland,1,0,0,0,
European,Sweden,1,0,0,0,
European,Switzerland,1,1,0,0,TRUE
European,Belgium,1,0,0,0,
Eastern Mediterranean,Iran,95,34,15,3,
Eastern Mediterranean,United Arab Emirates,13,0,0,0,
Eastern Mediterranean,Kuwait,12,4,0,0,
Eastern Mediterranean,Bahrain,26,18,0,0,
Eastern Mediterranean,Oman,4,2,0,0,
Eastern Mediterranean,Egypt,1,0,0,0,
Eastern Mediterranean,Lebanon,1,0,0,0,
Eastern Mediterranean,Afganistan,1,0,0,0,
Eastern Mediterranean,Iraq,5,4,0,0,
African,Algeria,1,1,0,0,TRUE
Other,International Coveyance,691,0,3,0,
