Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific,China,81021,18,3194,14,
Western Pacific,Republic of Korea,8086,107,72,6,
Western Pacific,Japan,716,41,21,2,
Western Pacific,Singapore,200,13,0,0,
Western Pacific,Australia,197,57,3,0,
Western Pacific,Malaysia,197,68,0,0,
Western Pacific,Philippines,64,12,2,0,
Western Pacific,Viet Nam,48,9,0,0,
Western Pacific,Brunei Darussalam,25,13,0,0,
Western Pacific,Cambodia,7,2,0,0,
Western Pacific,New Zealand,6,1,0,0,
Western Pacific,Mongolia,1,0,0,0,
Western Pacific Territories,French Polynesia,1,0,0,0,
European,Italy,17660,2547,1268,252,
European,Spain,4231,1266,120,36,
European,France,3640,780,79,18,
European,Germany,3062,693,6,0,
European,Switzerland,1125,267,6,0,
European,Netherlands,804,190,10,5,
European,The United Kingdom,802,208,10,2,
European,Denmark,801,127,0,0,
European,Sweden,775,155,0,0,
European,Norway,750,261,1,1,
European,Belgium,599,285,0,0,
European,Austria,504,143,1,0,
European,Czechia,150,34,0,0,
European,Slovenia,141,84,0,0,
European,Portugal,112,71,0,0,
European,Finland,109,0,0,0,
European,Israel,100,25,0,0,
European,Greece,98,0,1,0,
European,Ireland,90,20,1,0,
European,Estonia,79,66,0,0,
European,San Marino,66,3,2,0,
European,Romania,64,16,0,0,
European,Poland,64,15,1,0,
European,Iceland,61,0,0,0,
European,Luxembourg,38,21,1,1,
European,Russian Federation,34,0,0,0,
European,Albania,33,10,1,1,
European,Serbia,31,12,0,0,
European,Slovakia,30,9,0,0,
European,Croatia,27,11,0,0,
European,Georgia,25,0,0,0,
European,Belarus,21,9,0,0,
European,Hungary,19,3,0,0,
European,Latvia,16,0,0,0,
European,Cyprus,14,8,0,0,
European,Malta,12,3,0,0,
European,Azerbaijan,11,0,0,0,
European,Bosnia and Herzegovina,11,7,0,0,
European,North Macedonia,9,2,0,0,
European,Armenia,8,7,0,0,
European,Republic of Moldova,8,4,0,0,
European,Bulgaria,7,0,1,0,
European,Lithuania,6,3,0,0,
European,Turkey,5,4,0,0,
European,Liechtenstein,4,0,0,0,
European,Ukraine,3,0,1,1,
European,Andorra,2,1,0,0,
European,Monaco,2,1,0,0,
European,Holy See,1,0,0,0,
European Territories,Faroe Islands,3,1,0,0,
European Territories,Gibraltar,1,0,0,0,
European Territories,Guernsey,1,0,0,0,
European Territories,Jersey,2,0,0,0,
South-East Asia ,India,82,8,2,1,
South-East Asia ,Thailand,75,0,1,0,
South-East Asia ,Indonesia,69,35,3,2,
South-East Asia ,Maldives,9,1,0,0,
South-East Asia ,Sri Lanka,6,3,0,0,
