Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific Region,China,80174,206,2915,42,
Western Pacific Region,Republic of Korea,4212,476,22,4,
Western Pacific Region,Japan,254,15,6,1,
Western Pacific Region,Singapore,106,4,0,0,
Western Pacific Region,Australia,27,2,1,1,
Western Pacific Region,Malaysia,24,0,0,0,
Western Pacific Region,Viet Nam,16,0,0,0,
Western Pacific Region,Philippines,3,0,1,0,
Western Pacific Region,Cambodia,1,0,0,0,
Western Pacific Region,New Zealand,1,0,0,0,
European,Italy,1689,561,35,6,
European,France,100,,2,0,
European,Germany,129,72,0,0,
European,Spain,45,,0,0,
European,United Kingdom,36,13,0,0,
European,Switzerland,24,6,0,0,
European,Norway,19,4,0,0,
European,Sweden,14,1,0,0,
European,Austria,10,0,0,0,
European,Croatia,7,0,0,0,
European,Isreal,7,0,0,0,
European,Netherlands,13,6,0,0,
European,Azerbaijan,3,0,0,0,
European,Czechia,3,3,0,0,TRUE
European,Denmark,4,1,0,0,
European,Georgia,3,0,0,0,
European,Greece,7,3,0,0,
European,Romania,3,0,0,0,
European,Finland,6,4,0,0,
European,Iceland,2,2,0,0,TRUE
European,Russian Federation,2,0,0,0,
European,Armenia,1,1,0,0,TRUE
European,Belarus,1,0,0,0,
European,Belgium,1,0,0,0,
European,Estonia,1,0,0,0,
European,Ireland,1,0,0,0,
European,Lithuania,1,0,0,0,
European,Luxembourg,1,1,0,0,TRUE
European,Monaco,1,0,0,0,
European,North Macedonia,1,0,0,0,
European,San Marino,1,0,0,0,
South-East Asia Region,Thailand,42,0,0,0,
South-East Asia Region,India,3,0,0,0,
South-East Asia Region,Indonesia,2,2,0,0,TRUE
South-East Asia Region,Napal,1,0,0,0,
South-East Asia Region,Sri Lanka,1,0,0,0,
Eastern Mediterranean,Iran,978,385,54,11,
Eastern Mediterranean,Kuwait,56,11,0,0,
Eastern Mediterranean,Bahrain,47,7,0,0,
Eastern Mediterranean,United Arab Emirates,21,2,0,0,
Eastern Mediterranean,Iraq,19,6,0,0,
Eastern Mediterranean,Oman,6,0,0,0,
Eastern Mediterranean,Lebanon,10,1,0,0,
Eastern Mediterranean,Pakistan,4,0,0,0,
Eastern Mediterranean,Afganistan,1,0,0,0,
Eastern Mediterranean,Egypt,2,1,0,0,
Eastern Mediterranean,Qatar,3,2,0,0,
Region of the Americas,United States of America,62,2,0,0,
Region of the Americas,Canada,19,0,0,0,
Region of the Americas,Mexio,5,3,0,0,
Region of the Americas,Brazil,2,0,0,0,
Region of the Americas,Dominican,1,1,0,0,TRUE
Region of the Americas,Ecuador,1,0,0,0,
African,Algeria,1,0,0,0,
African,Nigeria,1,0,0,0,
Other,International Coveyance,706,1,6,0,
