Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific,China,80813,102,20073,28,
Western Pacific,Republic of Korea,6767,483,44,2,
Western Pacific,Japan,408,59,6,0,
Western Pacific,Singapore,130,13,0,0,
Western Pacific,Malaysia,83,28,0,0,
Western Pacific,Australia,62,5,2,0,
Western Pacific,Viet Nam,17,1,0,0,
Western Pacific,New Zealand,5,1,0,0,
Western Pacific,Philippines,5,0,1,0,
Western Pacific,Cambodia,1,0,0,0,
European,Italy,4636,778,197,49,
European,Germany,639,105,0,0,
European,France,613,193,9,3,
European,Spain,374,117,5,2,
European,Switzerland,209,123,1,0,
European,The United Kingdom,167,49,1,1,
European,Sweden,137,76,0,0,
European,Netherlands,128,46,1,1,
European,Norway,113,27,0,0,
European,Belgium,109,59,0,0,
European,Austria,66,19,0,0,
European,Iceland,45,19,0,0,
European,Greece,32,0,0,0,
European,San Marino,24,3,0,0,
European,Denmark,23,5,0,0,
European,Finland,19,7,0,0,
European,Israel,19,4,0,0,
European,Ireland,18,4,0,0,
European,Portugal,13,4,0,0,
European,Czechia,12,0,0,0,
European,Croatia,11,1,0,0,
European,Estonia,10,7,0,0,
European,Azerbaijan,9,6,0,0,
European,Georgia,9,0,0,0,
European,Slovenia,9,3,0,0,
European,Romania,7,1,0,0,
European,Russian Federation,7,3,0,0,
European,Belarus,6,0,0,0,
European,Poland,5,4,0,0,
European,Hungary,5,3,0,0,
European,North Macedonia,3,2,0,0,
European,Bosnia and Herzegovina,2,0,0,0,
European,Luxembourg,2,1,0,0,
European,Andorra,1,0,0,0,
European,Armenia,1,0,0,0,
European,Holy See,1,1,0,0,TRUE
European,Latvia,1,0,0,0,
European,Liechtenstein,1,0,0,0,
European,Lithuania,1,0,0,0,
European,Monaco,1,0,0,0,
European,Serbia,1,0,0,0,TRUE
European,Slovakia,1,1,0,0,
European,Ukraine,1,0,0,0,
European Territories,Gibraltar,1,0,0,0,
South-East Asia ,Thailand,48,1,1,0,
South-East Asia ,India,31,1,0,0,
South-East Asia ,Indonesia,2,0,0,0,
South-East Asia ,Bhutan,1,0,0,0,
South-East Asia ,Nepal,1,0,0,0,
South-East Asia ,Sri Lanka,1,0,0,0,
Eastern Mediterranean ,Iran (Islamic Republic of),4747,1234,124,17,
Eastern Mediterranean ,Kuwait,58,0,0,0,
Eastern Mediterranean ,Bahrain,49,0,0,0,
Eastern Mediterranean ,United Arab Emirates,45,18,0,0,
Eastern Mediterranean ,Iraq,44,8,4,2,
Eastern Mediterranean ,Lebanon,22,6,0,0,
Eastern Mediterranean ,Oman,16,0,0,0,
Eastern Mediterranean ,Qatar,11,3,0,0,
Eastern Mediterranean ,Saudi Arabia,8,0,0,0,
Eastern Mediterranean ,Pakistan,5,0,0,0,
Eastern Mediterranean ,Egypt,3,0,0,0,
Eastern Mediterranean ,Morocco,2,0,0,0,
Eastern Mediterranean ,Afghanistan,1,0,0,0,
Eastern Mediterranean ,Jordan,1,0,0,0,
Eastern Mediterranean ,Tunisia,1,0,0,0,
Eastern Mediterranean Territories,Occupied Palestinian Territory,16,9,0,0,
Region of the Americas,United States of America,213,65,11,1,
Region of the Americas,Canada,51,6,0,0,
Region of the Americas,Ecuador,14,1,0,0,
Region of the Americas,Brazil,13,6,0,0,
Region of the Americas,Chile,5,4,0,0,
Region of the Americas,Mexico,5,0,0,0,
Region of the Americas,Argentina,2,1,0,0,
Region of the Americas,Colombia,1,1,0,0,TRUE
Region of the Americas,Dominican Republic,1,0,0,0,
Region of the Americas,Peru,1,1,0,0,TRUE
Region of the Americas Territories,Saint Martin,2,0,0,0,
Region of the Americas Territories,Saint Barthelemy,1,0,0,0,
African ,Algeria,17,5,0,0,
African ,Senegal,4,0,0,0,
African ,Cameroon,2,1,0,0,
African ,Nigeria,1,0,0,0,
African ,South Africa,1,0,0,0,
African ,Togo,1,1,0,0,
