Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific Region,China,4537,1776,106,26,
Western Pacific Region,Japan,6,2,0,0,
Western Pacific Region,Republic of Korea,4,0,0,0,
Western Pacific Region,Viet Nam,2,0,0,0,
Western Pacific Region,Republic of Singapore,7,3,0,0,
Western Pacific Region,Australia,5,1,0,0,
Western Pacific Region,Malaysia,4,0,0,0,
Western Pacific Region,Cambodia,1,1,0,0,TRUE
South-East Asia Region,Thailand,14,9,0,0,
South-East Asia Region,Federal Democratic Republic of Napal,1,0,0,0,
South-East Asia Region,Sri Lanka,1,1,0,0,TRUE
Region of the Americas,United States of America,5,3,0,0,
Region of the Americas,Canada,2,1,0,0,
European,France,3,0,0,0,
European,Germany,1,1,0,0,TRUE
