Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
African ,South Africa,5951,304,116,13,
African ,Algeria,4154,148,453,3,
African ,Nigeria,2170,238,68,10,
African ,Ghana,2074,0,17,0,
African ,Cameroon,2069,237,61,0,
African ,Guinea,1537,42,7,0,
African ,Cote d?Ivoire,1275,0,14,0,
African ,Senegal,1024,91,9,0,
African ,Niger,728,9,33,1,
African ,Burkina Faso,649,4,44,1,
African ,Democratic Republic of the Congo,604,32,32,1,
African ,Mali,508,18,26,0,
African ,United Republic of Tanzania,480,0,17,0,
African ,Kenya,411,15,21,4,
African ,Mauritius,332,0,10,0,
African ,Equatorial Guinea,315,0,2,0,
African ,Gabon,308,32,4,1,
African ,Guinea-Bissau,257,56,1,0,
African ,Rwanda,249,6,0,0,
African ,Congo,229,9,10,1,
African ,Liberia,152,11,18,2,
African ,Sierra Leone,136,12,8,1,
African ,Madagascar,135,3,0,0,
African ,Ethiopia,133,2,3,0,
African ,Togo,123,7,9,0,
African ,Cabo Verde,121,0,1,0,
African ,Zambia,109,3,3,0,
African ,Eswatini,106,6,1,0,
African ,Benin,90,6,2,0,
African ,Uganda,83,2,0,0,
African ,Mozambique,79,3,0,0,
African ,Chad,73,0,5,2,
African ,Central African Republic,64,0,0,0,
African ,South Sudan,45,10,0,0,
African ,Eritrea,39,0,0,0,
African ,Malawi,37,0,3,0,
African ,Zimbabwe,34,2,4,0,
African ,Angola,29,2,2,0,
African ,Botswana,23,0,1,0,
African ,Namibia,16,0,0,0,
African ,Sao Tome and Principe,16,0,1,0,
African ,Burundi,15,0,1,0,
African ,Gambia,12,0,1,0,
African ,Seychelles,11,0,0,0,
African ,Mauritania,8,0,1,0,
African ,Comoros,1,0,0,0,
African Territories,Mayotte,539,0,4,0,
African Territories,Reunion,420,0,0,0,
Region of the Americas,United States of America,1067127,31774,57406,2069,
Region of the Americas,Brazil,85380,7218,5901,435,
Region of the Americas,Canada,53657,1601,3223,141,
Region of the Americas,Peru,36976,3045,1051,108,
Region of the Americas,Ecuador,26336,1402,1063,163,
Region of the Americas,Mexico,19224,1425,1859,127,
Region of the Americas,Chile,17008,985,234,7,
Region of the Americas,Dominican Republic,7288,316,313,12,
Region of the Americas,Panama,6532,154,188,10,
Region of the Americas,Colombia,6507,296,293,15,
Region of the Americas,Argentina,4476,172,220,5,
Region of the Americas,Cuba,1537,36,64,3,
Region of the Americas,Bolivia (Plurinational State of),1167,57,62,3,
Region of the Americas,Honduras,804,33,75,4,
Region of the Americas,Costa Rica,719,6,6,0,
Region of the Americas,Uruguay,643,13,17,2,
Region of the Americas,Guatemala,599,14,16,0,
Region of the Americas,El Salvador,424,29,10,1,
Region of the Americas,Jamaica,422,26,8,1,
Region of the Americas,Venezuela (Bolivarian Republic of),333,2,10,0,
Region of the Americas,Paraguay,266,17,10,1,
Region of the Americas,Trinidad and Tobago,116,0,8,0,
Region of the Americas,Guyana,82,4,9,1,
Region of the Americas,Bahamas,81,1,11,0,
Region of the Americas,Barbados,81,1,7,0,
Region of the Americas,Haiti,81,5,8,1,
Region of the Americas,Antigua and Barbuda,24,0,3,0,
Region of the Americas,Grenada,20,0,0,0,
Region of the Americas,Belize,18,0,2,0,
Region of the Americas,Saint Lucia,17,0,0,0,
Region of the Americas,Dominica,16,0,0,0,
Region of the Americas,Saint Vincent and the Grenadines,16,0,0,0,
