Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific,China,84347,6,4643,0,
Western Pacific,Singapore,14423,799,14,2,
Western Pacific,Japan,13576,191,376,25,
Western Pacific,Republic of Korea,10752,14,244,1,
Western Pacific,Philippines,7777,198,511,10,
Western Pacific,Australia,6725,12,84,1,
Western Pacific,Malaysia,5820,40,99,1,
Western Pacific,New Zealand,1124,2,19,0,
Western Pacific,Viet Nam,270,0,0,0,
Western Pacific,Brunei Darussalam,138,0,1,0,
Western Pacific,Cambodia,122,0,0,0,
Western Pacific,Mongolia,38,0,0,0,
Western Pacific,Lao People's Democratic Republic,19,0,0,0,
Western Pacific,Fiji,18,0,0,0,
Western Pacific,Papua New Guinea,8,0,0,0,
Western Pacific Territories,Guam,138,1,5,0,
Western Pacific Territories,French Polynesia,58,1,0,0,
Western Pacific Territories,New Caledonia,18,0,0,0,
Western Pacific Territories,Northern Mariana Islands (Commonwealth of the),14,0,2,0,
European,Spain,209465,1831,23190,0,
European,Italy,199414,1739,26977,333,
European,The United Kingdom,157153,4309,21092,360,
European,Germany,156337,1144,5913,163,
European,France,127008,3729,23261,440,
European,Turkey,112261,2131,2900,95,
European,Russian Federation,93558,6411,867,73,
European,Belgium,46687,553,7207,113,
European,Netherlands,38245,400,4518,43,
European,Switzerland,29081,103,1352,16,
European,Portugal,24027,163,928,25,
European,Ireland,19648,386,1102,15,
European,Sweden,18926,286,2274,80,
European,Israel,15466,68,202,3,
European,Austria,15256,67,549,7,
European,Belarus,12208,1745,79,7,
European,Poland,11902,285,562,27,
European,Romania,11339,303,631,23,
European,Ukraine,9410,401,239,19,
European,Denmark,8698,123,427,5,
European,Serbia,8275,233,162,6,
European,Norway,7533,28,193,0,
European,Czechia,7449,45,223,2,
European,Finland,4695,119,193,3,
European,Luxembourg,3729,6,88,0,
European,Republic of Moldova,3481,73,103,7,
European,Kazakhstan,2982,191,25,0,
European,Hungary,2649,66,291,11,
European,Greece,2534,28,136,6,
European,Croatia,2039,9,59,4,
European,Uzbekistan,1924,37,8,0,
European,Armenia,1867,59,30,1,
European,Iceland,1792,0,10,0,
European,Azerbaijan,1678,33,22,1,
European,Estonia,1647,4,50,1,
European,Bosnia and Herzegovina,1564,48,60,2,
European,Lithuania,1449,0,41,0,
European,Slovenia,1407,0,83,1,
European,North Macedonia,1399,13,65,4,
European,Slovakia,1381,2,18,0,
European,Bulgaria,1363,63,58,2,
European,Cyprus,822,5,20,3,
European,Latvia,818,6,13,1,
European,Andorra,748,8,40,0,
European,Albania,736,10,28,0,
European,Kyrgyzstan,708,13,8,0,
European,San Marino,538,0,41,0,
European,Georgia,511,15,6,0,
European,Malta,450,2,4,0,
European,Montenegro,321,0,7,0,
European,Liechtenstein,83,0,1,0,
European,Monaco,68,0,1,0,
European,Holy See,9,0,0,0,
European Territories,Kosovo[1],780,17,22,1,
European Territories,Isle of Man,308,0,18,0,
European Territories,Jersey,281,1,19,0,
European Territories,Guernsey,247,2,13,1,
European Territories,Faroe Islands,187,0,0,0,
European Territories,Gibraltar,141,0,0,0,
European Territories,Greenland,11,0,0,0,
South-East Asia ,India,29435,1543,934,62,
South-East Asia ,Indonesia,9096,214,765,22,
South-East Asia ,Bangladesh,5913,497,152,7,
South-East Asia ,Thailand,2938,7,54,2,
South-East Asia ,Sri Lanka,523,0,7,0,
South-East Asia ,Maldives,214,26,0,0,
South-East Asia ,Myanmar,146,0,5,0,
South-East Asia ,Nepal,52,1,0,0,
South-East Asia ,Timor-Leste,24,0,0,0,
South-East Asia ,Bhutan,7,0,0,0,
Eastern Mediterranean ,Iran (Islamic Republic of),91472,991,5806,96,
Eastern Mediterranean ,Saudi Arabia,18811,1289,144,5,
Eastern Mediterranean ,Pakistan,13915,587,292,11,
Eastern Mediterranean ,Qatar,11244,957,10,0,
Eastern Mediterranean ,United Arab Emirates,10839,490,82,6,
Eastern Mediterranean ,Egypt,4782,248,337,20,
Eastern Mediterranean ,Morocco,4120,55,162,1,
Eastern Mediterranean ,Kuwait,3288,213,22,2,
Eastern Mediterranean ,Bahrain,2723,76,8,0,
Eastern Mediterranean ,Oman,2131,82,10,0,
Eastern Mediterranean ,Iraq,1847,27,88,1,
Eastern Mediterranean ,Afghanistan,1703,172,60,10,
Eastern Mediterranean ,Djibouti,1035,12,2,0,
Eastern Mediterranean ,Tunisia,967,18,39,1,
Eastern Mediterranean ,Lebanon,710,3,24,0,
Eastern Mediterranean ,Somalia,480,44,26,3,
Eastern Mediterranean ,Jordan,449,2,7,0,
Eastern Mediterranean ,Sudan,275,38,22,1,
Eastern Mediterranean ,Libya,61,0,2,0,
Eastern Mediterranean ,Syrian Arab Republic,43,1,3,0,
Eastern Mediterranean ,Yemen,1,0,0,0,
Eastern Mediterranean Territories,occupied Palestinian territory,342,0,2,0,
Region of the Americas,United States of America,960916,29218,49170,1190,
Region of the Americas,Brazil,61888,3379,4205,189,
Region of the Americas,Canada,47316,1538,2617,128,
Region of the Americas,Peru,27517,2186,728,28,
Region of the Americas,Ecuador,23240,521,663,87,
Region of the Americas,Mexico,14677,835,1351,46,
Region of the Americas,Chile,13813,482,198,9,
Region of the Americas,Dominican Republic,6293,158,282,4,
Region of the Americas,Panama,5779,241,165,6,
Region of the Americas,Colombia,5379,237,244,11,
Region of the Americas,Argentina,3892,54,192,13,
Region of the Americas,Cuba,1389,20,56,2,
Region of the Americas,Bolivia (Plurinational State of),950,84,50,4,
Region of the Americas,Costa Rica,695,2,6,0,
Region of the Americas,Honduras,661,34,61,2,
Region of the Americas,Uruguay,606,10,15,1,
Region of the Americas,Guatemala,500,27,15,0,
Region of the Americas,Venezuela (Bolivarian Republic of),325,2,10,0,
Region of the Americas,El Salvador,323,25,8,0,
Region of the Americas,Jamaica,305,0,7,0,
Region of the Americas,Paraguay,228,0,9,0,
Region of the Americas,Trinidad and Tobago,116,1,8,0,
Region of the Americas,Bahamas,80,2,11,0,
Region of the Americas,Barbados,79,0,6,0,
Region of the Americas,Guyana,74,0,8,0,
Region of the Americas,Haiti,74,2,6,0,
Region of the Americas,Antigua and Barbuda,24,0,3,0,
Region of the Americas,Belize,18,0,2,0,
Region of the Americas,Grenada,18,0,0,0,
Region of the Americas,Dominica,16,0,0,0,
Region of the Americas,Saint Kitts and Nevis,15,0,0,0,
Region of the Americas,Saint Lucia,15,0,0,0,
Region of the Americas,Saint Vincent and the Grenadines,15,1,0,0,
Region of the Americas,Nicaragua,13,0,3,0,
Region of the Americas,Suriname,10,0,1,0,
Region of the Americas Territories,Puerto Rico,1389,18,53,0,
Region of the Americas Territories,Martinique,175,0,14,0,
Region of the Americas Territories,Guadeloupe,149,0,10,0,
Region of the Americas Territories,French Guiana,111,2,1,0,
Region of the Americas Territories,Bermuda,109,0,6,1,
Region of the Americas Territories,Aruba,100,0,2,0,
Region of the Americas Territories,Sint Maarten,74,0,13,0,
Region of the Americas Territories,Cayman Islands,70,0,1,0,
Region of the Americas Territories,United States Virgin Islands,59,4,4,1,
Region of the Americas Territories,Saint Martin,38,0,3,0,
Region of the Americas Territories,Curacao,16,2,1,0,
Region of the Americas Territories,Falkland Islands (Malvinas),13,0,0,0,
Region of the Americas Territories,Turks and Caicos Islands,12,1,1,0,
Region of the Americas Territories,Montserrat,11,0,1,0,
Region of the Americas Territories,"Bonaire, Sint Eustatius and Saba",6,1,0,0,
Region of the Americas Territories,British Virgin Islands,6,0,1,0,
Region of the Americas Territories,Saint Barthelemy,6,0,0,0,
Region of the Americas Territories,Anguilla,3,0,0,0,
Region of the Americas Territories,Saint Pierre and Miquelon,1,0,0,0,
African ,South Africa,4793,247,90,3,
African ,Algeria,3517,135,432,7,
African ,Cameroon,1621,0,56,0,
African ,Ghana,1550,0,11,0,
African ,Nigeria,1337,64,40,0,
African ,Cote d?Ivoire,1164,14,14,0,
African ,Guinea,1163,69,7,0,
African ,Senegal,735,64,9,0,
African ,Niger,701,5,29,0,
African ,Burkina Faso,632,0,42,0,
African ,Democratic Republic of the Congo,471,12,30,2,
African ,Mali,408,19,23,0,
African ,Kenya,363,8,14,0,
African ,Mauritius,334,2,9,0,
African ,United Republic of Tanzania,300,0,10,0,
African ,Equatorial Guinea,258,0,1,0,
African ,Congo,207,7,8,0,
African ,Rwanda,207,16,0,0,
African ,Gabon,176,0,3,0,
African ,Liberia,133,9,16,4,
African ,Madagascar,128,0,0,0,
African ,Ethiopia,124,1,3,0,
African ,Cabo Verde,106,0,1,0,
African ,Sierra Leone,99,6,4,0,
African ,Togo,99,1,6,0,
African ,Zambia,89,1,3,0,
African ,Uganda,79,4,0,0,
African ,Mozambique,76,0,0,0,
African ,Guinea-Bissau,73,20,1,0,
African ,Eswatini,65,6,1,0,
African ,Benin,64,0,1,0,
African ,Chad,46,0,0,0,
African ,Central African Republic,42,23,0,0,
African ,Eritrea,39,0,0,0,
African ,Malawi,36,2,3,0,
African ,Zimbabwe,31,0,4,0,
African ,Angola,27,1,2,0,
African ,Botswana,22,0,1,0,
African ,Namibia,16,0,0,0,
African ,Burundi,15,0,1,0,
African ,Seychelles,11,0,0,0,
African ,Gambia,10,0,1,0,
African ,Sao Tome and Principe,8,0,0,0,
African ,Mauritania,7,0,1,0,
African ,South Sudan,6,0,0,0,
African Territories,Mayotte,433,32,4,0,
African Territories,Reunion,418,1,0,0,
