Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific,China,82930,55,3338,3,
Western Pacific,Republic of Korea,10237,81,183,6,
Western Pacific,Australia,5635,181,34,6,
Western Pacific,Malaysia,3483,150,57,4,
Western Pacific,Japan,3271,351,70,1,
Western Pacific,Philippines,3094,76,144,8,
Western Pacific,Singapore,1189,75,5,0,
Western Pacific,New Zealand,872,48,1,0,
Western Pacific,Viet Nam,240,1,0,0,
Western Pacific,Brunei Darussalam,135,1,1,0,
Western Pacific,Cambodia,114,0,0,0,
Western Pacific,Mongolia,14,0,0,0,
Western Pacific,Fiji,12,5,0,0,
Western Pacific,Lao People's Democratic Republic,10,0,0,0,
Western Pacific,Papua New Guinea,1,0,0,0,
Western Pacific Territories,Guam,93,9,4,1,
Western Pacific Territories,French Polynesia,40,1,0,0,
Western Pacific Territories,New Caledonia,18,0,0,0,
Western Pacific Territories,Northern Mariana Islands (Commonwealth of the),8,0,1,0,
European,Spain,124736,7026,11744,809,
European,Italy,124632,4805,15362,681,
European,Germany,91714,5936,1342,184,
European,France,67757,4221,7546,1053,
European,The United Kingdom,41907,3735,4313,708,
European,Turkey,23934,3013,501,76,
European,Switzerland,20489,783,666,59,
European,Belgium,18431,1661,1283,140,
European,Netherlands,16627,904,1651,164,
European,Austria,11766,241,186,18,
European,Portugal,10524,638,266,20,
European,Israel,7589,559,42,6,
European,Sweden,6443,365,373,40,
European,Norway,5510,302,50,6,
European,Russian Federation,4731,582,43,9,
European,Ireland,4604,331,137,17,
European,Czechia,4472,282,59,6,
European,Denmark,4077,320,161,22,
European,Poland,3627,244,79,8,
European,Romania,3613,430,141,8,
European,Luxembourg,2729,117,31,0,
European,Finland,1882,267,25,5,
European,Greece,1673,60,68,9,
European,Serbia,1624,148,39,0,
European,Iceland,1417,53,4,0,
European,Ukraine,1251,155,32,4,
European,Croatia,1126,47,12,4,
European,Estonia,1018,57,13,1,
European,Slovenia,977,43,22,2,
European,Lithuania,771,0,9,0,
European,Republic of Moldova,752,161,12,3,
European,Armenia,746,10,7,0,
European,Hungary,733,55,34,2,
European,Bosnia and Herzegovina,632,46,21,3,
European,Kazakhstan,531,71,5,2,
European,Azerbaijan,512,69,5,0,
European,Latvia,509,16,1,0,
European,Bulgaria,503,18,17,3,
European,North Macedonia,483,53,17,5,
European,Slovakia,471,21,0,0,
European,Andorra,466,24,17,1,
European,Belarus,440,186,4,0,
European,Cyprus,426,30,11,0,
European,Albania,333,0,18,1,
European,Uzbekistan,298,57,2,0,
European,San Marino,259,7,32,0,
European,Malta,213,11,0,0,
European,Montenegro,197,37,2,0,
European,Georgia,170,13,1,1,
European,Kyrgyzstan,147,3,1,0,
European,Liechtenstein,77,1,1,1,
European,Monaco,37,0,0,0,
European,Holy See,7,0,0,0,
European Territories,Faroe Islands,181,2,0,0,
European Territories,Kosovo[1],140,8,1,0,
European Territories,Guernsey,136,22,2,0,
European Territories,Isle of Man,126,12,1,0,
European Territories,Jersey,123,5,3,1,
European Territories,Gibraltar,98,3,1,0,
European Territories,Greenland,10,0,0,0,
South-East Asia ,India,3374,1073,77,21,
South-East Asia ,Indonesia,2092,106,191,10,
